name, bw, ms, mAP, mJ, Memory, GMAC, Parameters
lee-3, 30.5e3, 276, 36.8, 0, 0, 0, 0
lee-5, 16.2e3, 350, 36.7, 0, 0, 0, 0
lee-7, 8.8e3, 400, 36.5, 0, 0, 0, 0
lee-10, 4.7e3, 440, 36.4, 0, 0, 0, 0
matsubara2022-1, 180e3, 1365, 36.1, 0, 0, 0, 0
matsubara2022-2, 90e3, 1365, 35.9, 0, 0, 0, 0
matsubara2022-3, 23e3, 1365, 34.0, 0, 0, 0, 0
matsubara2022-4, 15e3, 1365, 29.5, 0, 0, 0, 0
matsubara2022-5, 8e3, 1365, 26.0, 0, 0, 0, 0
assine-1, 110e3, 1424, 31.65, 0, 0, 0, 0
assine-2, 220e3, 2350, 37.84, 0, 0, 0, 0
assine-3, 330e3, 3680, 39.88, 0, 0, 0, 0
assine-4, 440e3, 5000, 39.55, 0, 0, 0, 0
ours, 0, 137, 0, 0, 0, 0, 0
ours, 0, 200, 0, 0, 0, 0, 0
ours, 0, 265, 0, 0, 0, 0, 0
ours, 0, 320, 0, 0, 0, 0, 0
